,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Playing Time
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
0,Ederson,br BRA,GK,31-076,9.0,9,810.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,0.0,0.04,0.04,0.0,0.04,Matches,Manchester-City,
1,Erling Haaland,no NOR,FW,24-103,9.0,9,809.0,9.0,11.0,0.0,11.0,10.0,1.0,1.0,1.0,0.0,8.8,8.0,0.5,8.5,7.0,4.0,38.0,1.22,0.0,1.22,1.11,1.11,0.98,0.05,1.03,0.89,0.94,Matches,Manchester-City,
2,Joško Gvardiol,hr CRO,DF,22-283,9.0,8,762.0,8.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.8,1.3,26.0,95.0,20.0,0.24,0.0,0.24,0.24,0.24,0.05,0.1,0.15,0.05,0.15,Matches,Manchester-City,
3,Rúben Dias,pt POR,DF,27-171,9.0,8,727.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.1,0.7,12.0,57.0,3.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Manchester-City,
4,Bernardo Silva,pt POR,"MF,FW",30-083,9.0,8,727.0,8.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.3,1.3,2.5,3.7,34.0,37.0,73.0,0.0,0.37,0.37,0.0,0.37,0.16,0.3,0.46,0.16,0.46,Matches,Manchester-City,
5,Mateo Kovačić,hr CRO,MF,30-179,9.0,8,699.0,7.8,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.9,0.9,0.3,1.2,27.0,45.0,9.0,0.39,0.0,0.39,0.39,0.39,0.11,0.04,0.15,0.11,0.15,Matches,Manchester-City,
6,Manuel Akanji,ch SUI,DF,29-105,8.0,8,691.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,19.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches,Manchester-City,
7,Rico Lewis,eng ENG,"MF,DF",19-346,8.0,8,664.0,7.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,19.0,36.0,38.0,0.0,0.27,0.27,0.0,0.27,0.1,0.03,0.13,0.1,0.13,Matches,Manchester-City,
8,Sávio,br BRA,"FW,MF",20-205,7.0,6,453.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,3.0,4.1,55.0,23.0,79.0,0.0,0.4,0.4,0.0,0.4,0.22,0.59,0.82,0.22,0.82,Matches,Manchester-City,
