Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Kai Havertz,de GER,FW,25-143,9,9,810.0,9.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,4.5,4.5,1.0,5.5,20.0,29.0,53.0,0.44,0.11,0.56,0.44,0.56,0.5,0.11,0.61,0.5,0.61,Matches,Arsenal
David Raya,es ESP,GK,29-047,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Thomas Partey,gh GHA,"MF,DF",31-141,9,9,797.0,8.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,4.0,47.0,6.0,0.11,0.0,0.11,0.11,0.11,0.04,0.02,0.06,0.04,0.06,Matches,Arsenal
Gabriel Magalhães,br BRA,DF,26-318,9,9,773.0,8.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,0.3,1.7,2.0,23.0,4.0,0.23,0.0,0.23,0.23,0.23,0.17,0.03,0.2,0.17,0.2,Matches,Arsenal
Declan Rice,eng ENG,MF,25-292,8,8,672.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.4,0.4,1.3,1.7,22.0,51.0,25.0,0.0,0.13,0.13,0.0,0.13,0.05,0.17,0.22,0.05,0.22,Matches,Arsenal
William Saliba,fr FRA,DF,23-222,8,8,659.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Bukayo Saka,eng ENG,"MF,FW",23-057,8,8,650.0,7.2,3.0,7.0,10.0,3.0,0.0,0.0,1.0,0.0,2.3,2.3,3.5,5.8,33.0,31.0,80.0,0.42,0.97,1.38,0.42,1.38,0.31,0.49,0.8,0.31,0.8,Matches,Arsenal
Ben White,eng ENG,DF,27-024,7,6,585.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,2.0,23.0,10.0,0.0,0.15,0.15,0.0,0.15,0.02,0.03,0.04,0.02,0.04,Matches,Arsenal
Gabriel Martinelli,br BRA,"MF,FW",23-136,9,6,552.0,6.1,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.5,1.5,1.7,3.3,34.0,12.0,70.0,0.33,0.33,0.65,0.33,0.65,0.25,0.29,0.53,0.25,0.53,Matches,Arsenal
