Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Illia Zabarnyi,ua UKR,DF,22-061,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,4.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Bournemouth
Lewis Cook,eng ENG,MF,27-272,9,9,803.0,8.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,1.8,2.2,8.0,51.0,13.0,0.11,0.22,0.34,0.11,0.34,0.04,0.2,0.24,0.04,0.24,Matches,Bournemouth
Antoine Semenyo,gh GHA,FW,24-299,9,9,787.0,8.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,2.0,4.9,29.0,16.0,70.0,0.34,0.11,0.46,0.34,0.46,0.34,0.22,0.56,0.34,0.56,Matches,Bournemouth
Milos Kerkez,hu HUN,DF,20-360,9,9,747.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.1,0.3,0.4,25.0,42.0,33.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.01,0.05,Matches,Bournemouth
Marcus Tavernier,eng ENG,"MF,FW",25-224,9,8,690.0,7.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.5,2.5,1.3,3.8,20.0,45.0,45.0,0.13,0.26,0.39,0.13,0.39,0.33,0.17,0.49,0.33,0.49,Matches,Bournemouth
Marcos Senesi,ar ARG,DF,27-175,7,7,616.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,8.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches,Bournemouth
Ryan Christie,sct SCO,MF,29-253,9,7,563.0,6.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,6.0,36.0,16.0,0.16,0.0,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11,Matches,Bournemouth
Evanilson,br BRA,FW,25-026,8,7,541.0,6.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.5,1.8,0.6,2.4,4.0,5.0,16.0,0.33,0.0,0.33,0.33,0.33,0.42,0.1,0.53,0.29,0.4,Matches,Bournemouth
Justin Kluivert,nl NED,"MF,FW",25-180,9,6,474.0,5.3,1.0,2.0,3.0,0.0,1.0,1.0,4.0,0.0,1.6,0.8,0.9,1.7,11.0,17.0,36.0,0.19,0.38,0.57,0.0,0.38,0.3,0.18,0.47,0.15,0.32,Matches,Bournemouth
Kepa Arrizabalaga,es ESP,GK,30-029,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Julian Araujo,mx MEX,DF,23-080,7,5,348.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Adam Smith,eng ENG,DF,33-186,9,4,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Bournemouth
Dango Ouattara,bf BFA,"FW,DF",22-264,8,4,414.0,4.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,1.4,2.9,23.0,6.0,47.0,0.22,0.22,0.43,0.22,0.43,0.33,0.3,0.63,0.33,0.63,Matches,Bournemouth
Alex Scott,eng ENG,MF,21-072,8,2,263.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,5.0,32.0,14.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,0.12,0.05,0.12,Matches,Bournemouth
Dean Huijsen,es ESP,DF,19-201,3,2,194.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches,Bournemouth
Neto,br BRA,GK,35-105,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Mark Travers,ie IRL,GK,25-167,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Luis Sinisterra,co COL,"FW,MF",25-137,8,1,208.0,2.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,1.0,2.1,14.0,3.0,29.0,0.43,0.43,0.87,0.43,0.87,0.48,0.44,0.92,0.48,0.92,Matches,Bournemouth
Enes Ünal,tr TUR,FW,27-175,6,1,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.1,0.8,3.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.46,0.1,0.56,0.46,0.56,Matches,Bournemouth
Daniel Jebbison,eng ENG,FW,21-080,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,Bournemouth
Philip Billing,dk DEN,MF,28-143,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
David Brooks,wls WAL,"FW,MF",27-116,2,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,1.35,0.0,1.35,Matches,Bournemouth
Tyler Adams,us USA,MF,25-261,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Max Aarons,eng ENG,DF,24-302,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Jaidon Anthony,eng ENG,"FW,MF",24-336,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Will Dennis,eng ENG,GK,24-114,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
James Hill,eng ENG,DF,22-296,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Hamed Junior Traorè,ci CIV,"FW,MF",24-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Squad Total,,,25.7,9,99,810.0,9.0,11.0,9.0,20.0,10.0,1.0,2.0,26.0,0.0,14.2,12.6,10.7,23.3,165.0,362.0,358.0,1.22,1.0,2.22,1.11,2.11,1.58,1.19,2.76,1.4,2.59,,Bournemouth
Opponent Total,,,26.8,9,99,810.0,9.0,11.0,9.0,20.0,11.0,0.0,0.0,31.0,1.0,11.4,11.4,9.2,20.6,160.0,312.0,308.0,1.22,1.0,2.22,1.22,2.22,1.26,1.03,2.29,1.26,2.29,,Bournemouth
