Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Danny Welbeck,eng ENG,FW,33-341,9,9,749.0,8.3,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,4.5,4.5,0.4,4.9,7.0,19.0,34.0,0.72,0.12,0.84,0.72,0.84,0.55,0.05,0.59,0.55,0.59,Matches,Brighton-and-Hove-Albion
Kaoru Mitoma,jp JPN,"FW,MF",27-165,9,8,740.0,8.2,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,2.3,2.3,2.2,4.4,52.0,26.0,97.0,0.12,0.24,0.36,0.12,0.36,0.27,0.27,0.54,0.27,0.54,Matches,Brighton-and-Hove-Albion
Lewis Dunk,eng ENG,DF,32-346,8,8,705.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.7,8.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.09,0.03,0.09,Matches,Brighton-and-Hove-Albion
Joël Veltman,nl NED,DF,32-291,8,8,701.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.3,16.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches,Brighton-and-Hove-Albion
Jack Hinshelwood,eng ENG,"DF,MF",19-204,8,8,697.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.3,0.7,8.0,26.0,27.0,0.13,0.0,0.13,0.13,0.13,0.05,0.04,0.09,0.05,0.09,Matches,Brighton-and-Hove-Albion
Bart Verbruggen,nl NED,GK,22-075,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton-and-Hove-Albion
Carlos Baleba,cm CMR,MF,20-303,8,7,572.0,6.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.3,1.1,9.0,35.0,4.0,0.16,0.16,0.31,0.16,0.31,0.13,0.05,0.18,0.13,0.18,Matches,Brighton-and-Hove-Albion
Jan Paul van Hecke,nl NED,DF,24-146,7,6,549.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.2,9.0,58.0,0.0,0.0,0.16,0.16,0.0,0.16,0.01,0.03,0.03,0.01,0.03,Matches,Brighton-and-Hove-Albion
Georginio Rutter,fr FRA,"FW,MF",22-195,8,6,448.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.5,1.5,1.3,2.7,13.0,32.0,35.0,0.4,0.4,0.8,0.4,0.8,0.29,0.25,0.55,0.29,0.55,Matches,Brighton-and-Hove-Albion
Yankuba Minteh,gm GAM,"FW,MF",20-102,7,5,406.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.8,0.8,1.5,2.3,17.0,12.0,54.0,0.22,0.22,0.44,0.22,0.44,0.18,0.34,0.52,0.18,0.52,Matches,Brighton-and-Hove-Albion
Ferdi Kadioglu,tr TUR,"DF,MF",25-025,5,4,299.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,1.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,Brighton-and-Hove-Albion
Yasin Ayari,se SWE,MF,21-026,7,3,372.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.4,1.0,8.0,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.24,0.14,0.24,Matches,Brighton-and-Hove-Albion
Pervis Estupiñán,ec ECU,DF,26-285,6,3,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,11.0,22.0,31.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches,Brighton-and-Hove-Albion
João Pedro,br BRA,"MF,FW",23-036,4,3,281.0,3.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.2,1.1,14.0,14.0,16.0,0.64,0.0,0.64,0.64,0.64,0.27,0.07,0.34,0.27,0.34,Matches,Brighton-and-Hove-Albion
