Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Robert Sánchez,es ESP,GK,26-349,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Levi Colwill,eng ENG,DF,21-249,9,9,809.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.08,0.02,0.08,Matches,Chelsea
Moisés Caicedo,ec ECU,MF,22-365,9,9,795.0,8.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.5,1.7,9.0,44.0,11.0,0.0,0.23,0.23,0.0,0.23,0.03,0.17,0.2,0.03,0.2,Matches,Chelsea
Cole Palmer,eng ENG,"MF,FW",22-179,9,9,775.0,8.6,7.0,5.0,12.0,6.0,1.0,1.0,3.0,0.0,4.8,4.0,4.2,8.1,29.0,54.0,42.0,0.81,0.58,1.39,0.7,1.28,0.56,0.48,1.04,0.46,0.95,Matches,Chelsea
Nicolas Jackson,sn SEN,FW,23-134,9,9,689.0,7.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,6.0,6.0,1.1,7.2,18.0,13.0,28.0,0.78,0.39,1.18,0.78,1.18,0.79,0.15,0.94,0.79,0.94,Matches,Chelsea
Wesley Fofana,fr FRA,DF,23-320,8,8,686.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.4,0.4,7.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Chelsea
Noni Madueke,eng ENG,FW,22-236,8,8,618.0,6.9,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,1.3,3.3,46.0,16.0,64.0,0.58,0.0,0.58,0.58,0.58,0.29,0.19,0.48,0.29,0.48,Matches,Chelsea
Marc Cucurella,es ESP,DF,26-102,8,7,603.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.2,0.2,7.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Chelsea
Malo Gusto,fr FRA,DF,21-166,7,7,600.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.1,0.6,11.0,32.0,24.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Chelsea
Enzo Fernández,ar ARG,MF,23-289,8,6,568.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,1.1,1.4,5.0,34.0,18.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.22,0.05,0.22,Matches,Chelsea
Jadon Sancho,eng ENG,FW,24-221,5,4,305.0,3.4,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.1,1.2,17.0,17.0,38.0,0.0,0.89,0.89,0.0,0.89,0.02,0.33,0.35,0.02,0.35,Matches,Chelsea
Pedro Neto,pt POR,FW,24-237,9,3,378.0,4.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.5,1.9,25.0,6.0,44.0,0.0,0.48,0.48,0.0,0.48,0.07,0.37,0.44,0.07,0.44,Matches,Chelsea
Roméo Lavia,be BEL,MF,20-300,4,3,201.0,2.2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.0,7.0,2.0,0.0,0.45,0.45,0.0,0.45,0.0,0.23,0.23,0.0,0.23,Matches,Chelsea
Tosin Adarabioyo,eng ENG,DF,27-038,4,2,173.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Chelsea
Reece James,eng ENG,DF,24-329,2,2,142.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Renato Veiga,pt POR,"DF,MF",21-095,5,1,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.2,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Chelsea
Christopher Nkunku,fr FRA,FW,26-353,9,1,159.0,1.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.7,1.7,0.3,2.0,5.0,7.0,18.0,0.57,0.0,0.57,0.57,0.57,0.96,0.17,1.13,0.96,1.13,Matches,Chelsea
Mykhailo Mudryk,ua UKR,FW,23-301,5,1,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.2,6.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.21,0.82,1.03,0.21,1.03,Matches,Chelsea
Axel Disasi,fr FRA,DF,26-235,2,1,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
João Félix,pt POR,"MF,FW",24-357,5,0,122.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,7.0,8.0,11.0,0.74,0.0,0.74,0.74,0.74,0.51,0.02,0.52,0.51,0.52,Matches,Chelsea
Kiernan Dewsbury-Hall,eng ENG,MF,26-056,3,0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,Matches,Chelsea
Benoît Badiashile,fr FRA,DF,23-220,1,0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Marc Guiu,es ESP,FW,18-302,1,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea
Marcus Bettinelli,eng ENG,GK,32-161,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Chelsea
