Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Marc Guéhi,eng ENG,DF,24-111,9,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.4,5.0,37.0,0.0,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.04,0.04,0.04,Matches,Crystal-Palace
Dean Henderson,eng ENG,GK,27-234,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Eberechi Eze,eng ENG,"MF,FW",26-125,9,9,809.0,9.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,27.0,45.0,58.0,0.11,0.11,0.22,0.11,0.22,0.33,0.11,0.45,0.33,0.45,Matches,Crystal-Palace
Tyrick Mitchell,eng ENG,"DF,MF",25-061,9,9,760.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.4,1.7,18.0,24.0,61.0,0.0,0.12,0.12,0.0,0.12,0.03,0.17,0.2,0.03,0.2,Matches,Crystal-Palace
Daniel Muñoz,co COL,"DF,MF",28-159,9,9,726.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.7,1.1,13.0,24.0,60.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,Crystal-Palace
Adam Wharton,eng ENG,MF,20-152,8,8,622.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6,0.8,6.0,61.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12,Matches,Crystal-Palace
Jean-Philippe Mateta,fr FRA,FW,27-126,9,7,574.0,6.4,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.9,1.1,0.7,1.8,3.0,10.0,24.0,0.47,0.0,0.47,0.31,0.31,0.3,0.11,0.41,0.17,0.28,Matches,Crystal-Palace
Maxence Lacroix,fr FRA,DF,24-209,6,6,540.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,1.0,12.0,0.0,0.0,0.17,0.17,0.0,0.17,0.04,0.05,0.09,0.04,0.09,Matches,Crystal-Palace
Daichi Kamada,jp JPN,MF,28-088,9,5,455.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.2,0.6,12.0,31.0,24.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04,0.12,0.08,0.12,Matches,Crystal-Palace
Jefferson Lerma,co COL,"MF,DF",30-007,7,5,415.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.8,0.9,2.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.2,0.02,0.2,Matches,Crystal-Palace
Eddie Nketiah,eng ENG,"FW,MF",25-155,6,5,406.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,1.2,16.0,7.0,30.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.28,0.18,0.28,Matches,Crystal-Palace
Chris Richards,us USA,DF,24-218,4,4,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Crystal-Palace
Will Hughes,eng ENG,MF,29-198,8,3,377.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.2,0.4,6.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.09,0.04,0.09,Matches,Crystal-Palace
Trevoh Chalobah,eng ENG,DF,25-119,3,3,267.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.11,0.01,0.12,0.11,0.12,Matches,Crystal-Palace
Ismaila Sarr,sn SEN,"FW,MF",26-250,9,2,306.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.9,1.6,8.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.19,0.27,0.46,0.19,0.46,Matches,Crystal-Palace
Nathaniel Clyne,eng ENG,"DF,MF",33-210,3,2,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Odsonne Édouard,fr FRA,"MF,FW",26-290,2,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.31,0.04,0.34,0.31,0.34,Matches,Crystal-Palace
Cheick Doucouré,ml MLI,MF,24-298,3,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Crystal-Palace
Joachim Andersen,dk DEN,DF,28-154,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Crystal-Palace
Chadi Riad,ma MAR,DF,21-137,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Crystal-Palace
Jeffrey Schlupp,gh GHA,"DF,MF",31-314,6,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.3,0.15,0.3,Matches,Crystal-Palace
Jordan Ayew,gh GHA,"FW,MF",33-051,1,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.96,0.21,2.17,1.96,2.17,Matches,Crystal-Palace
Asher Agbinone,eng ENG,MF,19-034,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.58,1.0,1.58,0.58,1.58,Matches,Crystal-Palace
Naouirou Ahamada,fr FRA,MF,22-217,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Justin Devenny,nir NIR,MF,21-021,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Rob Holding,eng ENG,DF,29-042,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Sam Johnstone,eng ENG,GK,31-221,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Caleb Kporha,eng ENG,DF,18-109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
Remi Matthews,eng ENG,GK,30-265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Crystal-Palace
