Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Jordan Pickford,eng ENG,GK,30-239,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
James Tarkowski,eng ENG,DF,31-348,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.5,1.1,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.12,0.07,0.12,Matches,Everton
Dwight McNeil,eng ENG,"MF,FW",24-345,9,9,797.0,8.9,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,0.7,0.7,2.6,3.3,17.0,43.0,42.0,0.34,0.34,0.68,0.34,0.68,0.08,0.29,0.37,0.08,0.37,Matches,Everton
Dominic Calvert-Lewin,eng ENG,FW,27-230,9,9,763.0,8.5,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,3.5,3.5,0.3,3.7,8.0,9.0,56.0,0.24,0.12,0.35,0.24,0.35,0.41,0.03,0.44,0.41,0.44,Matches,Everton
Michael Keane,eng ENG,DF,31-295,8,8,720.0,8.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.3,0.3,0.1,0.4,1.0,11.0,3.0,0.25,0.0,0.25,0.25,0.25,0.04,0.01,0.05,0.04,0.05,Matches,Everton
Iliman Ndiaye,sn SEN,FW,24-240,9,7,655.0,7.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.4,1.2,29.0,16.0,35.0,0.27,0.0,0.27,0.27,0.27,0.11,0.06,0.17,0.11,0.17,Matches,Everton
Ashley Young,eng ENG,DF,39-115,7,7,605.0,6.7,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.7,0.7,6.0,41.0,5.0,0.0,0.45,0.45,0.0,0.45,0.01,0.1,0.11,0.01,0.11,Matches,Everton
Jack Harrison,eng ENG,FW,27-347,9,7,592.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,1.5,2.4,17.0,13.0,47.0,0.0,0.0,0.0,0.0,0.0,0.13,0.23,0.36,0.13,0.36,Matches,Everton
Abdoulaye Doucouré,ml MLI,MF,31-305,8,7,565.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,7.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,Matches,Everton
Vitaliy Mykolenko,ua UKR,DF,25-156,7,7,565.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,4.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Everton
Idrissa Gana Gueye,sn SEN,MF,35-036,8,6,554.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,6.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Everton
Tim Iroegbunam,eng ENG,MF,21-124,6,4,383.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.3,5.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,Everton
Orel Mangala,be BEL,MF,26-228,6,3,275.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,Everton
James Garner,eng ENG,"DF,MF",23-233,4,2,253.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,Everton
Jesper Lindstrøm,dk DEN,FW,24-246,5,2,172.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.1,3.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.57,0.28,0.57,Matches,Everton
Jarrad Branthwaite,eng ENG,DF,22-127,2,1,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Séamus Coleman,ie IRL,DF,36-021,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,Matches,Everton
Roman Dixon,eng ENG,DF,19-311,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Beto,gw GNB,FW,26-275,5,0,57.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2.0,1.0,3.0,1.58,0.0,1.58,1.58,1.58,0.62,0.0,0.62,0.62,0.62,Matches,Everton
Jake O'Brien,ie IRL,DF,23-170,1,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Mason Holgate,eng ENG,"FW,DF",28-010,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Harrison Armstrong,eng ENG,MF,17-287,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Everton
Asmir Begović,ba BIH,GK,37-134,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Neal Maupay,fr FRA,"FW,MF",28-079,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Jenson Metcalfe,eng ENG,MF,20-056,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Nathan Patterson,sct SCO,DF,23-016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
João Virgínia,pt POR,GK,25-022,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Everton
Squad Total,,,29.0,9,99,810.0,9.0,10.0,7.0,17.0,10.0,0.0,0.0,14.0,1.0,9.3,9.3,7.1,16.4,110.0,253.0,251.0,1.11,0.78,1.89,1.11,1.89,1.03,0.79,1.82,1.03,1.82,,Everton
Opponent Total,,,26.9,9,99,810.0,9.0,16.0,13.0,29.0,16.0,0.0,1.0,7.0,0.0,14.4,13.6,11.2,24.8,169.0,419.0,416.0,1.78,1.44,3.22,1.78,3.22,1.6,1.24,2.84,1.51,2.75,,Everton
