Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Calvin Bassey,ng NGA,DF,24-306,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,7.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Fulham
Bernd Leno,de GER,GK,32-242,9,9,810.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.0,0.01,0.01,0.0,0.01,Matches,Fulham
Antonee Robinson,us USA,DF,27-085,9,9,810.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,20.0,22.0,58.0,0.0,0.22,0.22,0.0,0.22,0.02,0.07,0.08,0.02,0.08,Matches,Fulham
Kenny Tete,nl NED,DF,29-023,9,9,796.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.3,1.1,24.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13,Matches,Fulham
Alex Iwobi,ng NGA,FW,28-182,9,9,766.0,8.5,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,1.8,2.7,31.0,54.0,64.0,0.23,0.12,0.35,0.23,0.35,0.11,0.22,0.32,0.11,0.32,Matches,Fulham
Adama Traoré,es ESP,"FW,MF",28-281,9,9,690.0,7.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,2.6,2.6,2.1,4.7,38.0,26.0,56.0,0.13,0.26,0.39,0.13,0.39,0.34,0.28,0.61,0.34,0.61,Matches,Fulham
Andreas Pereira,br BRA,MF,28-305,9,9,688.0,7.6,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.9,1.1,1.6,2.7,4.0,37.0,28.0,0.13,0.0,0.13,0.13,0.13,0.25,0.2,0.45,0.15,0.35,Matches,Fulham
Emile Smith Rowe,eng ENG,MF,24-096,9,8,627.0,7.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,0.5,2.3,17.0,35.0,38.0,0.29,0.29,0.57,0.29,0.57,0.26,0.07,0.33,0.26,0.33,Matches,Fulham
Saša Lukić,rs SRB,MF,28-080,7,7,547.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.3,0.3,4.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Fulham
Raúl Jiménez,mx MEX,FW,33-180,9,6,518.0,5.8,4.0,1.0,5.0,3.0,1.0,1.0,0.0,0.0,3.3,2.6,2.0,4.6,4.0,12.0,21.0,0.69,0.17,0.87,0.52,0.69,0.58,0.35,0.93,0.44,0.8,Matches,Fulham
Joachim Andersen,dk DEN,DF,28-154,5,5,423.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.2,0.4,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,Matches,Fulham
Issa Diop,fr FRA,DF,27-297,7,4,393.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,Matches,Fulham
Sander Berge,no NOR,MF,26-261,7,3,344.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Fulham
Rodrigo Muniz,br BRA,FW,23-181,8,3,292.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.5,2.0,2.0,8.0,12.0,0.31,0.31,0.62,0.31,0.62,0.43,0.17,0.6,0.43,0.6,Matches,Fulham
Reiss Nelson,eng ENG,"FW,MF",24-327,6,0,124.0,1.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,14.0,8.0,15.0,0.73,0.73,1.45,0.73,1.45,0.3,0.33,0.63,0.3,0.63,Matches,Fulham
Tom Cairney,sct SCO,MF,33-286,6,0,108.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,4.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.34,0.0,0.34,Matches,Fulham
Harry Wilson,wls WAL,"FW,MF",27-224,5,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
Harrison Reed,eng ENG,MF,29-279,7,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.11,0.14,0.02,0.14,Matches,Fulham
Timothy Castagne,be BEL,DF,28-332,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
Jorge Cuenca,es ESP,DF,24-350,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
Jay Stansfield,eng ENG,MF,21-343,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Fulham
Steven Benda,de GER,GK,26-031,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Joshua King,eng ENG,MF,17-303,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Ryan Sessegnon,eng ENG,"DF,FW",24-167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Fulham
Squad Total,,,28.2,9,99,810.0,9.0,12.0,11.0,23.0,11.0,1.0,2.0,24.0,1.0,13.8,12.2,11.2,23.4,177.0,344.0,341.0,1.33,1.22,2.56,1.22,2.44,1.53,1.24,2.77,1.36,2.6,,Fulham
Opponent Total,,,27.7,9,99,810.0,9.0,11.0,10.0,21.0,11.0,0.0,0.0,19.0,1.0,10.5,10.5,8.5,19.0,148.0,326.0,323.0,1.22,1.11,2.33,1.22,2.33,1.17,0.94,2.11,1.17,2.11,,Fulham
