Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Wout Faes,be BEL,DF,26-212,9,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.8,3.0,31.0,1.0,0.11,0.0,0.11,0.11,0.11,0.09,0.0,0.09,0.09,0.09,Matches,Leicester-City
Mads Hermansen,dk DEN,GK,24-113,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City
James Justin,eng ENG,DF,26-252,9,9,810.0,9.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.7,10.0,26.0,19.0,0.22,0.11,0.33,0.22,0.33,0.04,0.03,0.08,0.04,0.08,Matches,Leicester-City
Wilfred Ndidi,ng NGA,MF,27-321,9,9,775.0,8.6,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.3,1.6,8.0,27.0,38.0,0.0,0.46,0.46,0.0,0.46,0.03,0.15,0.18,0.03,0.18,Matches,Leicester-City
Jamie Vardy,eng ENG,FW,37-295,9,9,753.0,8.4,4.0,0.0,4.0,3.0,1.0,1.0,3.0,0.0,3.5,2.7,0.3,3.0,7.0,7.0,30.0,0.48,0.0,0.48,0.36,0.36,0.41,0.04,0.45,0.32,0.36,Matches,Leicester-City
Victor Bernth Kristiansen,dk DEN,DF,21-321,8,8,682.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,11.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Leicester-City
Harry Winks,eng ENG,MF,28-273,8,7,675.0,7.5,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,41.0,7.0,0.0,0.27,0.27,0.0,0.27,0.01,0.13,0.14,0.01,0.14,Matches,Leicester-City
Caleb Okoli,it ITA,DF,23-111,7,7,628.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Leicester-City
Facundo Buonanotte,ar ARG,"MF,FW",19-314,8,6,551.0,6.1,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,2.1,2.1,1.3,3.5,16.0,21.0,29.0,0.49,0.33,0.82,0.49,0.82,0.35,0.22,0.57,0.35,0.57,Matches,Leicester-City
Stephy Mavididi,eng ENG,FW,26-154,9,6,539.0,6.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.8,0.8,0.7,1.5,24.0,23.0,44.0,0.33,0.0,0.33,0.33,0.33,0.13,0.12,0.25,0.13,0.25,Matches,Leicester-City
Oliver Skipp,eng ENG,MF,24-046,6,5,401.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.1,0.1,6.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Leicester-City
Jordan Ayew,gh GHA,"FW,MF",33-051,8,4,405.0,4.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,7.0,9.0,18.0,0.22,0.0,0.22,0.22,0.22,0.09,0.02,0.11,0.09,0.11,Matches,Leicester-City
Abdul Fatawu Issahaku,gh GHA,FW,20-238,9,4,399.0,4.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.4,1.8,30.0,14.0,41.0,0.0,0.45,0.45,0.0,0.45,0.07,0.32,0.4,0.07,0.4,Matches,Leicester-City
Jannik Vestergaard,dk DEN,DF,32-090,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City
Bilal El Khannouss,ma MAR,"MF,FW",20-175,5,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,6.0,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04,0.27,0.32,0.04,0.32,Matches,Leicester-City
