Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Virgil van Dijk,nl NED,DF,33-116,9,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,1.0,36.0,0.0,0.11,0.0,0.11,0.11,0.11,0.05,0.03,0.08,0.05,0.08,Matches,Liverpool
Ryan Gravenberch,nl NED,MF,22-169,9,9,809.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.4,0.6,20.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06,Matches,Liverpool
Mohamed Salah,eg EGY,FW,32-139,9,9,784.0,8.7,6.0,5.0,11.0,4.0,2.0,2.0,0.0,0.0,5.2,3.6,2.9,6.5,32.0,33.0,103.0,0.69,0.57,1.26,0.46,1.03,0.6,0.33,0.93,0.42,0.75,Matches,Liverpool
Trent Alexander-Arnold,eng ENG,DF,26-025,9,9,752.0,8.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,2.2,2.6,20.0,46.0,25.0,0.0,0.12,0.12,0.0,0.12,0.05,0.26,0.31,0.05,0.31,Matches,Liverpool
Ibrahima Konaté,fr FRA,DF,25-160,9,8,749.0,8.3,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.4,0.4,0.2,0.6,3.0,26.0,1.0,0.12,0.12,0.24,0.12,0.24,0.05,0.02,0.07,0.05,0.07,Matches,Liverpool
Andrew Robertson,sct SCO,DF,30-235,9,8,666.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.5,2.0,14.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.06,0.21,0.26,0.06,0.26,Matches,Liverpool
Alexis Mac Allister,ar ARG,MF,25-313,9,8,626.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.0,1.3,9.0,43.0,16.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.18,0.04,0.18,Matches,Liverpool
Dominik Szoboszlai,hu HUN,MF,24-007,9,7,655.0,7.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.5,1.5,1.1,2.5,22.0,28.0,29.0,0.0,0.14,0.14,0.0,0.14,0.2,0.15,0.35,0.2,0.35,Matches,Liverpool
Luis Díaz,co COL,FW,27-293,9,7,533.0,5.9,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,2.8,2.8,1.3,4.1,25.0,17.0,54.0,0.84,0.34,1.18,0.84,1.18,0.47,0.22,0.69,0.47,0.69,Matches,Liverpool
