Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Murillo,br BRA,DF,22-120,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.8,1.0,8.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.11,0.03,0.11,Matches,Nottingham-Forest
Matz Sels,be BEL,GK,32-249,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest
Ola Aina,ng NGA,DF,28-024,9,9,773.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,22.0,37.0,13.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,Matches,Nottingham-Forest
Chris Wood,nz NZL,FW,32-330,9,9,721.0,8.0,7.0,0.0,7.0,6.0,1.0,1.0,1.0,0.0,3.7,2.9,0.9,3.8,5.0,8.0,18.0,0.87,0.0,0.87,0.75,0.75,0.46,0.11,0.58,0.37,0.48,Matches,Nottingham-Forest
Nikola Milenković,rs SRB,DF,27-020,8,8,720.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.2,1.4,0.0,10.0,0.0,0.0,0.12,0.12,0.0,0.12,0.15,0.03,0.17,0.15,0.17,Matches,Nottingham-Forest
Elliot Anderson,eng ENG,"MF,FW",21-361,9,8,569.0,6.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.2,1.9,16.0,26.0,26.0,0.0,0.32,0.32,0.0,0.32,0.12,0.18,0.3,0.12,0.3,Matches,Nottingham-Forest
Callum Hudson-Odoi,eng ENG,FW,23-360,9,7,639.0,7.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.0,1.7,40.0,19.0,61.0,0.14,0.0,0.14,0.14,0.14,0.1,0.13,0.23,0.1,0.23,Matches,Nottingham-Forest
Morgan Gibbs-White,eng ENG,MF,24-279,6,6,506.0,5.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.8,0.8,0.8,1.7,11.0,28.0,24.0,0.18,0.0,0.18,0.18,0.18,0.15,0.15,0.3,0.15,0.3,Matches,Nottingham-Forest
Anthony Elanga,se SWE,FW,22-188,9,6,498.0,5.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.6,1.2,16.0,11.0,35.0,0.0,0.18,0.18,0.0,0.18,0.11,0.11,0.22,0.11,0.22,Matches,Nottingham-Forest
Álex Moreno,es ESP,DF,31-146,6,6,436.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,9.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches,Nottingham-Forest
Ryan Yates,eng ENG,MF,26-346,9,5,629.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,0.7,1.8,9.0,14.0,4.0,0.14,0.0,0.14,0.14,0.14,0.17,0.09,0.26,0.17,0.26,Matches,Nottingham-Forest
Nicolás Domínguez,ar ARG,"MF,FW",26-126,7,4,357.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0,0.6,5.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,Nottingham-Forest
James Ward-Prowse,eng ENG,MF,30-000,4,4,286.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.0,0.1,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,Nottingham-Forest
Neco Williams,wls WAL,DF,23-202,9,3,374.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,0.9,10.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.21,0.14,0.21,Matches,Nottingham-Forest
Ibrahim Sangaré,ci CIV,MF,26-335,3,3,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,Matches,Nottingham-Forest
Taiwo Awoniyi,ng NGA,FW,27-081,6,1,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,3.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.31,0.31,Matches,Nottingham-Forest
Willy Boly,ci CIV,DF,33-272,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Nottingham-Forest
Danilo,br BRA,MF,23-186,1,1,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest
Jota Silva,pt POR,"MF,FW",25-092,8,0,159.0,1.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.7,0.9,8.0,5.0,8.0,0.0,0.57,0.57,0.0,0.57,0.14,0.39,0.53,0.14,0.53,Matches,Nottingham-Forest
Ramón Sosa,py PAR,"MF,FW",25-062,5,0,81.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,5.0,2.0,5.0,1.11,0.0,1.11,1.11,1.11,0.67,0.33,1.0,0.67,1.0,Matches,Nottingham-Forest
Morato,br BRA,DF,23-124,5,0,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Nottingham-Forest
Harry Toffolo,eng ENG,DF,29-074,1,0,37.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,Nottingham-Forest
Carlos Miguel,br BRA,GK,26-023,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest
Andrew Omobamidele,ie IRL,DF,22-131,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest
Eric da Silva Moreira,de GER,DF,18-182,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Nottingham-Forest
Squad Total,,,26.9,9,99,810.0,9.0,11.0,5.0,16.0,10.0,1.0,1.0,28.0,2.0,11.4,10.6,7.8,18.4,168.0,253.0,249.0,1.22,0.56,1.78,1.11,1.67,1.27,0.86,2.13,1.18,2.05,,Nottingham-Forest
Opponent Total,,,26.6,9,99,810.0,9.0,7.0,4.0,11.0,6.0,1.0,1.0,35.0,0.0,9.4,8.6,6.6,15.2,241.0,470.0,468.0,0.78,0.44,1.22,0.67,1.11,1.04,0.74,1.78,0.96,1.69,,Nottingham-Forest
