Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Flynn Downes,eng ENG,MF,25-286,9,9,806.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.8,1.3,12.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.14,0.05,0.14,Matches,Southampton
Jan Bednarek,pl POL,DF,28-203,9,9,800.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,2.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,Southampton
Taylor Harwood-Bellis,eng ENG,DF,22-276,9,8,680.0,7.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.7,0.7,0.4,1.1,3.0,23.0,3.0,0.13,0.0,0.13,0.13,0.13,0.09,0.05,0.14,0.09,0.14,Matches,Southampton
Yukinari Sugawara,jp JPN,DF,24-126,8,8,625.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,1.4,1.7,10.0,33.0,24.0,0.14,0.0,0.14,0.14,0.14,0.04,0.2,0.24,0.04,0.24,Matches,Southampton
Aaron Ramsdale,eng ENG,GK,26-171,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton
Kyle Walker-Peters,eng ENG,DF,27-202,7,7,620.0,6.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.7,0.9,30.0,34.0,16.0,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.13,0.03,0.13,Matches,Southampton
Mateus Fernandes,pt POR,MF,20-114,8,6,528.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.3,16.0,25.0,20.0,0.0,0.17,0.17,0.0,0.17,0.08,0.14,0.22,0.08,0.22,Matches,Southampton
Tyler Dibling,eng ENG,"FW,MF",18-234,9,6,493.0,5.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,0.8,1.7,25.0,19.0,34.0,0.18,0.0,0.18,0.18,0.18,0.17,0.14,0.31,0.17,0.31,Matches,Southampton
Joe Aribo,ng NGA,MF,28-103,8,5,482.0,5.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,1.9,16.0,22.0,26.0,0.19,0.0,0.19,0.19,0.19,0.23,0.12,0.35,0.23,0.35,Matches,Southampton
Jack Stephens,eng ENG,DF,30-279,5,5,438.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.1,0.4,6.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.07,0.05,0.07,Matches,Southampton
Cameron Archer,eng ENG,FW,23-103,9,4,437.0,4.9,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,3.5,2.7,0.0,2.7,7.0,3.0,19.0,0.41,0.0,0.41,0.41,0.41,0.72,0.0,0.72,0.55,0.55,Matches,Southampton
Ben Brereton,cl CHI,FW,25-197,6,4,389.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.8,0.1,0.9,11.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches,Southampton
Adam Armstrong,eng ENG,"FW,MF",27-265,6,3,276.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,0.1,1.0,9.0,7.0,21.0,0.0,0.0,0.0,0.0,0.0,0.28,0.04,0.32,0.28,0.32,Matches,Southampton
William Smallbone,ie IRL,MF,24-254,4,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,2.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.23,0.11,0.23,Matches,Southampton
Ryan Manning,ie IRL,"DF,FW",28-140,3,3,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.09,0.12,0.02,0.12,Matches,Southampton
Charlie Taylor,eng ENG,DF,31-044,5,2,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Southampton
Alex McCarthy,eng ENG,GK,34-334,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Southampton
Adam Lallana,eng ENG,MF,36-175,5,2,175.0,1.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.8,1.0,3.0,11.0,3.0,0.0,1.03,1.03,0.0,1.03,0.09,0.41,0.5,0.09,0.5,Matches,Southampton
Ryan Fraser,sct SCO,FW,30-251,4,2,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches,Southampton
Lesley Ugochukwu,fr FRA,MF,20-220,3,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.26,0.14,0.26,Matches,Southampton
Ross Stewart,sct SCO,"FW,MF",28-113,4,1,132.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,Matches,Southampton
Maxwel Cornet,ci CIV,FW,28-035,2,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,Matches,Southampton
Samuel Edozie,eng ENG,"DF,FW",21-278,2,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,6.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,Southampton
Paul Onuachu,ng NGA,FW,30-157,3,0,44.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.16,Matches,Southampton
Kamaldeen Sulemana,gh GHA,"FW,MF",22-260,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,Southampton
James Bree,eng ENG,DF,27-021,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,Southampton
Carlos Alcaraz,ar ARG,MF,21-337,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.86,1.48,0.62,1.48,Matches,Southampton
Samuel Amo-Ameyaw,eng ENG,DF,18-106,1,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.62,0.8,0.18,0.8,Matches,Southampton
Joe Lumley,eng ENG,GK,29-260,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Nathan Wood-Gordon,eng ENG,DF,22-154,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Southampton
Squad Total,,,26.0,9,99,810.0,9.0,6.0,4.0,10.0,6.0,0.0,1.0,29.0,2.0,10.5,9.7,8.1,17.8,176.0,300.0,297.0,0.67,0.44,1.11,0.67,1.11,1.17,0.9,2.07,1.08,1.98,,Southampton
Opponent Total,,,26.4,9,99,810.0,9.0,19.0,13.0,32.0,18.0,1.0,1.0,21.0,1.0,19.6,19.0,16.5,35.5,196.0,387.0,384.0,2.11,1.44,3.56,2.0,3.44,2.18,1.83,4.02,2.11,3.94,,Southampton
