Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Cristian Romero,ar ARG,DF,26-188,9,9,810.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.4,7.0,37.0,2.0,0.11,0.0,0.11,0.11,0.11,0.11,0.04,0.16,0.11,0.16,Matches,Tottenham-Hotspur
Guglielmo Vicario,it ITA,GK,28-025,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
Pedro Porro,es ESP,DF,25-049,9,9,806.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,1.1,1.8,24.0,57.0,32.0,0.11,0.0,0.11,0.11,0.11,0.07,0.12,0.2,0.07,0.2,Matches,Tottenham-Hotspur
Destiny Udogie,it ITA,DF,21-339,9,9,744.0,8.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.0,1.3,22.0,50.0,49.0,0.0,0.12,0.12,0.0,0.12,0.04,0.12,0.16,0.04,0.16,Matches,Tottenham-Hotspur
James Maddison,eng ENG,MF,27-344,9,9,669.0,7.4,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.3,2.3,1.9,4.1,16.0,67.0,44.0,0.27,0.4,0.67,0.27,0.67,0.31,0.25,0.56,0.31,0.56,Matches,Tottenham-Hotspur
Micky van de Ven,nl NED,DF,23-196,8,8,710.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,1.2,1.4,8.0,42.0,1.0,0.0,0.25,0.25,0.0,0.25,0.03,0.15,0.18,0.03,0.18,Matches,Tottenham-Hotspur
Brennan Johnson,wls WAL,FW,23-162,9,8,693.0,7.7,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,4.0,4.0,0.7,4.7,29.0,26.0,85.0,0.39,0.0,0.39,0.39,0.39,0.52,0.08,0.61,0.52,0.61,Matches,Tottenham-Hotspur
Dejan Kulusevski,se SWE,"MF,FW",24-190,9,8,679.0,7.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.4,1.4,2.0,3.3,37.0,44.0,66.0,0.27,0.13,0.4,0.27,0.4,0.18,0.26,0.44,0.18,0.44,Matches,Tottenham-Hotspur
Dominic Solanke,eng ENG,FW,27-048,7,7,617.0,6.9,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.6,3.6,0.8,4.3,14.0,19.0,30.0,0.29,0.15,0.44,0.29,0.44,0.52,0.11,0.63,0.52,0.63,Matches,Tottenham-Hotspur
Son Heung-min,kr KOR,FW,32-116,6,6,519.0,5.8,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.8,1.8,1.8,3.6,23.0,37.0,78.0,0.52,0.35,0.87,0.52,0.87,0.31,0.31,0.62,0.31,0.62,Matches,Tottenham-Hotspur
Rodrigo Bentancur,uy URU,MF,27-129,8,5,397.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.1,0.5,4.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.02,0.1,0.08,0.1,Matches,Tottenham-Hotspur
Yves Bissouma,ml MLI,MF,28-063,6,4,359.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.5,5.0,28.0,0.0,0.5,0.0,0.5,0.5,0.5,0.06,0.05,0.11,0.06,0.11,Matches,Tottenham-Hotspur
Pape Matar Sarr,sn SEN,MF,22-048,9,2,290.0,3.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,5.0,21.0,13.0,0.0,0.62,0.62,0.0,0.62,0.19,0.35,0.54,0.19,0.54,Matches,Tottenham-Hotspur
Timo Werner,de GER,"FW,MF",28-240,7,2,244.0,2.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,0.9,22.0,15.0,49.0,0.0,0.37,0.37,0.0,0.37,0.28,0.06,0.34,0.28,0.34,Matches,Tottenham-Hotspur
