Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
Mario Lemina,ga GAB,MF,31-061,9,9,764.0,8.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.3,1.3,3.0,23.0,13.0,0.12,0.12,0.24,0.12,0.24,0.12,0.03,0.15,0.12,0.15,Matches,Wolverhampton-Wanderers
João Gomes,br BRA,MF,23-263,9,9,747.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.3,15.0,33.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches,Wolverhampton-Wanderers
Rayan Aït-Nouri,dz ALG,DF,23-148,9,9,743.0,8.3,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,2.1,15.0,31.0,31.0,0.36,0.24,0.61,0.36,0.61,0.13,0.12,0.25,0.13,0.25,Matches,Wolverhampton-Wanderers
Jørgen Strand Larsen,no NOR,FW,24-269,9,9,732.0,8.1,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.9,1.9,0.8,2.7,3.0,6.0,19.0,0.37,0.12,0.49,0.37,0.49,0.23,0.1,0.33,0.23,0.33,Matches,Wolverhampton-Wanderers
Matheus Cunha,br BRA,"MF,FW",25-158,9,8,707.0,7.9,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,2.2,2.2,1.8,4.0,29.0,27.0,48.0,0.51,0.0,0.51,0.51,0.51,0.28,0.23,0.51,0.28,0.51,Matches,Wolverhampton-Wanderers
Nélson Semedo,pt POR,DF,30-351,7,7,600.0,6.7,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.3,0.3,1.0,1.3,12.0,16.0,15.0,0.0,0.3,0.3,0.0,0.3,0.05,0.15,0.19,0.05,0.19,Matches,Wolverhampton-Wanderers
Toti Gomes,pt POR,DF,25-290,7,7,585.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.5,4.0,11.0,2.0,0.0,0.15,0.15,0.0,0.15,0.0,0.08,0.08,0.0,0.08,Matches,Wolverhampton-Wanderers
Craig Dawson,eng ENG,DF,34-179,8,6,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches,Wolverhampton-Wanderers
Jean-Ricner Bellegarde,fr FRA,"MF,FW",26-127,8,6,403.0,4.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.3,0.6,13.0,5.0,21.0,0.22,0.22,0.45,0.22,0.45,0.07,0.06,0.13,0.07,0.13,Matches,Wolverhampton-Wanderers
Sam Johnstone,eng ENG,GK,31-221,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Wolverhampton-Wanderers
Yerson Mosquera,co COL,DF,23-183,5,5,441.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.1,0.4,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Wolverhampton-Wanderers
André,br BRA,MF,23-108,7,5,363.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.1,0.2,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches,Wolverhampton-Wanderers
José Sá,pt POR,GK,31-289,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Wolverhampton-Wanderers
